2019-04-12T09:41:19,903 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing WRITE on device:bmv2:s1: UNKNOWN
2019-04-12T09:41:19,906 | WARN  | grpc-default-executor-2 | WriteResponseImpl                | 234 - org.onosproject.onos-protocols-p4runtime-ctl - 2.1.0.SNAPSHOT | Unable to DELETE PRE multicast group entry on device:bmv2:s1: OTHER_ERROR OUT_OF_RANGE Group id value is too high (ALL-sswitch-p4org:0) [PiMulticastGroupEntry{groupId=0x7327f54d, replicas=[[s1-eth2](2):0x1, [s1-eth4](4):0x1, [s1-eth3](3):0x1]}]
2019-04-12T09:41:19,918 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing WRITE on device:bmv2:s1: UNKNOWN
2019-04-12T09:41:19,921 | WARN  | grpc-default-executor-2 | WriteResponseImpl                | 234 - org.onosproject.onos-protocols-p4runtime-ctl - 2.1.0.SNAPSHOT | Unable to INSERT PRE multicast group entry on device:bmv2:s1: OTHER_ERROR OUT_OF_RANGE Group id value is too high (ALL-sswitch-p4org:0) [PiMulticastGroupEntry{groupId=0x7327f54d, replicas=[[s1-eth2](2):0x1, [s1-eth4](4):0x1, [s1-eth3](3):0x1]}]
2019-04-12T09:41:28,578 | INFO  | onos-store-app-app-activation | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 | Removing features: onos-kpn-apps-aggregator/[2.1.0.SNAPSHOT,2.1.0.SNAPSHOT]
2019-04-12T09:41:28,940 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 | Changes to perform:
2019-04-12T09:41:28,940 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 |   Region: root
2019-04-12T09:41:28,941 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 |     Bundles to uninstall:
2019-04-12T09:41:28,941 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 |       org.onosproject.onos-kpn-apps-aggregator/2.1.0.SNAPSHOT
2019-04-12T09:41:28,941 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 | Stopping bundles:
2019-04-12T09:41:28,941 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 |   org.onosproject.onos-kpn-apps-aggregator/2.1.0.SNAPSHOT
2019-04-12T09:41:28,953 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing WRITE on device:bmv2:s1: UNKNOWN
2019-04-12T09:41:28,962 | WARN  | grpc-default-executor-2 | WriteResponseImpl                | 234 - org.onosproject.onos-protocols-p4runtime-ctl - 2.1.0.SNAPSHOT | Unable to DELETE PRE multicast group entry on device:bmv2:s1: OTHER_ERROR OUT_OF_RANGE Group id value is too high (ALL-sswitch-p4org:0) [PiMulticastGroupEntry{groupId=0x7327f54d, replicas=[[s1-eth2](2):0x1, [s1-eth4](4):0x1, [s1-eth3](3):0x1]}]
2019-04-12T09:41:28,963 | WARN  | onos-flowservice-device-installer-7 | P4RuntimeFlowRuleProgrammable    | 223 - org.onosproject.onos-protocols-grpc-utils - 2.1.0.SNAPSHOT | Unable to translate flow rule for pipeconf 'org.onosproject.pipelines.basic': Interpreter was unable to translate treatment. Instruction type 'GROUP' not supported [DefaultFlowEntry{rule=DefaultFlowEntry{id=c100002e98ca9e, deviceId=device:bmv2:s1, priority=50000, selector=[IN_PORT:1], treatment=DefaultTrafficTreatment{immediate=[GROUP:0x7327f54d], deferred=[], transition=None, meter=[], cleared=false, StatTrigger=null, metadata=null}, tableId=ingress.table0_control.table0, created=1555061952616}, state=PENDING_REMOVE, life=0, liveType=UNKNOWN, packets=0, bytes=0, errCode=-1, errType=-1, lastSeen=1555061952616}]
2019-04-12T09:41:28,965 | INFO  | features-3-thread-1 | Aggregator                       | 243 - org.onosproject.onos-kpn-apps-aggregator - 2.1.0.SNAPSHOT | Stopped
2019-04-12T09:41:28,970 | INFO  | features-3-thread-1 | CommandExtension                 | 51 - org.apache.karaf.shell.core - 4.2.3 | Unregistering commands for bundle org.onosproject.onos-kpn-apps-aggregator/2.1.0.SNAPSHOT
2019-04-12T09:41:28,980 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 | Uninstalling bundles:
2019-04-12T09:41:28,980 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 |   org.onosproject.onos-kpn-apps-aggregator/2.1.0.SNAPSHOT
2019-04-12T09:41:28,993 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 | Refreshing bundles:
2019-04-12T09:41:28,993 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 |     org.onosproject.onos-kpn-apps-aggregator/2.1.0.SNAPSHOT (Bundle will be uninstalled)
2019-04-12T09:41:28,995 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 | Done.
2019-04-12T09:41:28,996 | INFO  | onos-store-app-app-activation | ApplicationManager               | 189 - org.onosproject.onos-core-net - 2.1.0.SNAPSHOT | Application org.onosproject.aggregator has been deactivated
2019-04-12T09:41:49,813 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing READ on device:bmv2:s1: UNIMPLEMENTED: Reading default entry not supported yet
2019-04-12T09:42:19,826 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing READ on device:bmv2:s1: UNIMPLEMENTED: Reading default entry not supported yet
2019-04-12T09:42:49,822 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing READ on device:bmv2:s1: UNIMPLEMENTED: Reading default entry not supported yet


